filename,source,original_size,word_count,avg_complexity,lzma_ratio,lzma_size,bz2_ratio,bz2_size,gzip_ratio,gzip_size,zlib_ratio,zlib_size,zstd_ratio,zstd_size,brotli_ratio,brotli_size,ppmd_ratio,ppmd_size
scar_reader.txt,AI,720,112,0.6033609576427256,0.7292817679558011,528,0.6395027624309392,463,0.5966850828729282,432,0.580110497237569,420,0.6022099447513812,436,0.4723756906077348,342,,
shadow_painter.txt,AI,771,120,0.6002150537634409,0.727741935483871,564,0.6412903225806451,497,0.6025806451612903,467,0.5870967741935483,455,0.5987096774193549,464,0.44387096774193546,344,,
silence_merchant.txt,AI,727,113,0.6039108685766258,0.7366984993178718,540,0.6439290586630286,472,0.6002728512960437,440,0.5839017735334243,428,0.6043656207366985,443,0.4542974079126876,333,,
smoke_translator.txt,AI,787,115,0.594605983986515,0.7130214917825537,564,0.6219974715549936,492,0.5891276864728192,466,0.5739570164348925,454,0.5916561314791403,468,0.4778761061946903,378,,
song_collector.txt,AI,737,120,0.5904183535762483,0.717948717948718,532,0.6234817813765182,462,0.5856950067476383,434,0.5695006747638327,422,0.5883940620782726,436,0.4574898785425101,339,,
star_fisherman.txt,AI,729,115,0.56703146374829,0.6839945280437757,500,0.6032831737346102,441,0.560875512995896,410,0.5444596443228454,398,0.5595075239398085,409,0.45006839945280436,329,,
tear_collector.txt,AI,722,112,0.6078971533516988,0.7272727272727273,528,0.650137741046832,472,0.5964187327823691,433,0.5798898071625345,421,0.5922865013774105,430,0.5013774104683195,364,,
thread_walker.txt,AI,738,113,0.5759009009009008,0.6972972972972973,516,0.6094594594594595,451,0.5743243243243243,425,0.5581081081081081,413,0.5756756756756757,426,0.44054054054054054,326,,
time_weaver.txt,AI,713,119,0.6090909090909091,0.7440559440559441,532,0.6363636363636364,455,0.6083916083916084,435,0.5916083916083916,423,0.6,429,0.47412587412587415,339,,
truth_baker.txt,AI,771,114,0.5815006468305304,0.6934023285899095,536,0.6196636481241915,479,0.5782664941785253,447,0.5627425614489003,435,0.5769728331177232,446,0.4579560155239327,354,,
wind_reader.txt,AI,726,120,0.6119505494505495,0.7417582417582418,540,0.6456043956043956,470,0.6112637362637363,445,0.5947802197802198,433,0.6043956043956044,440,0.4739010989010989,345,,
word_archaeologist.txt,AI,779,117,0.6032354193273733,0.7254150702426565,568,0.6436781609195402,504,0.5977011494252874,468,0.5823754789272031,456,0.6015325670498084,471,0.46871008939974457,367,,
001_fox_and_grapes.txt,Human,168,31,0.8978174603174603,1.2619047619047619,212,0.9285714285714286,156,0.875,147,0.8035714285714286,135,0.7976190476190477,134,0.7202380952380952,121,,
002_goose_golden_eggs.txt,Human,216,43,0.7916666666666666,1.0925925925925926,236,0.8935185185185185,193,0.7731481481481481,167,0.7175925925925926,155,0.7175925925925926,155,0.5555555555555556,120,,
003_cat_and_mice.txt,Human,202,42,0.7937293729372937,1.0891089108910892,220,0.806930693069307,163,0.7722772277227723,156,0.7128712871287128,144,0.7277227722772277,147,0.6534653465346535,132,,
004_mischievous_dog.txt,Human,197,39,0.8181049069373942,1.1370558375634519,224,0.8527918781725888,168,0.7868020304568528,155,0.7258883248730964,143,0.7106598984771574,140,0.6954314720812182,137,,
005_mice_in_council.txt,Human,178,32,0.8305243445692884,1.1685393258426966,208,0.898876404494382,160,0.8146067415730337,145,0.7471910112359551,133,0.7415730337078652,132,0.6123595505617978,109,,
006_bat_and_weasels.txt,Human,107,23,1.0093457943925233,1.4205607476635513,152,1.1308411214953271,121,0.9813084112149533,105,0.8691588785046729,93,0.8411214953271028,90,0.8130841121495327,87,,
007_dog_and_sow.txt,Human,134,25,0.9490049751243781,1.3432835820895523,180,0.9776119402985075,131,0.9328358208955224,125,0.8432835820895522,113,0.8208955223880597,110,0.7761194029850746,104,,
008_fox_and_crow.txt,Human,116,22,0.9568965517241379,1.3448275862068966,156,1.0517241379310345,122,0.9396551724137931,109,0.8362068965517241,97,0.8103448275862069,94,0.7586206896551724,88,,
009_wolf_and_lamb.txt,Human,95,16,1.0912280701754387,1.6,152,1.231578947368421,117,1.0736842105263158,102,0.9473684210526315,90,0.9263157894736842,88,0.7684210526315789,73,,
010_peacock_and_crane.txt,Human,98,18,1.056122448979592,1.469387755102041,144,1.153061224489796,113,1.010204081632653,99,0.8877551020408163,87,0.8877551020408163,87,0.9285714285714286,91,,
011_lion_and_mouse.txt,Human,131,25,0.9287531806615776,1.3435114503816794,176,0.9618320610687023,126,0.8854961832061069,116,0.7938931297709924,104,0.7938931297709924,104,0.7938931297709924,104,,
012_crow_and_pitcher.txt,Human,94,16,1.0939716312056738,1.6170212765957446,152,1.2127659574468086,114,1.074468085106383,101,0.9468085106382979,89,0.8936170212765957,84,0.8191489361702128,77,,
013_north_wind_and_sun.txt,Human,127,21,0.973753280839895,1.3858267716535433,176,1.031496062992126,131,0.937007874015748,119,0.84251968503937,107,0.8503937007874016,108,0.7952755905511811,101,,
014_boys_and_frogs.txt,Human,107,20,1.0467289719626167,1.4953271028037383,160,1.1495327102803738,123,1.0093457943925233,108,0.897196261682243,96,0.897196261682243,96,0.8317757009345794,89,,
015_charcoal_burner_and_fuller.txt,Human,143,22,0.9463869463869463,1.3146853146853146,188,1.013986013986014,145,0.9300699300699301,133,0.8461538461538461,121,0.8181818181818182,117,0.7552447552447552,108,,
015_man_and_satyr.txt,Human,231,44,0.7424242424242424,1.0216450216450217,236,0.7835497835497836,181,0.7272727272727273,168,0.6753246753246753,156,0.683982683982684,158,0.5627705627705628,130,,
016_eagle_and_arrow.txt,Human,120,22,0.9652777777777778,1.4,168,1.0083333333333333,121,0.9333333333333333,112,0.8333333333333334,100,0.8166666666666667,98,0.8,96,,
016_mice_in_council.txt,Human,948,178,0.5497538677918424,0.6624472573839663,628,0.570675105485232,541,0.5506329113924051,522,0.5379746835443038,510,0.54957805907173,521,0.4272151898734177,405,,
017_dog_in_manger.txt,Human,478,93,0.6283124128312413,0.7782426778242678,372,0.6631799163179917,317,0.6129707112970711,293,0.5878661087866108,281,0.606694560669456,290,0.5209205020920502,249,,
017_tortoise_and_hare.txt,Human,127,23,0.9488188976377953,1.3543307086614174,172,1.0236220472440944,130,0.9133858267716536,116,0.8188976377952756,104,0.8031496062992126,102,0.7795275590551181,99,,
018_lioness_and_vixen.txt,Human,142,29,0.9072769953051644,1.267605633802817,180,0.9788732394366197,139,0.8873239436619719,126,0.8028169014084507,114,0.7887323943661971,112,0.7183098591549296,102,,
018_tortoise_and_hare.txt,Human,603,114,0.6006080707573245,0.7495854063018242,452,0.6268656716417911,378,0.5903814262023217,356,0.5704809286898839,344,0.5920398009950248,357,0.47429519071310117,286,,
019_ant_and_grasshopper.txt,Human,708,129,0.5986346516007532,0.7175141242937854,508,0.6242937853107344,442,0.5847457627118644,414,0.5677966101694916,402,0.5734463276836158,406,0.5240112994350282,371,,
